,time_left,ct_score,t_score,map,bomb_planted,ct_health,t_health,ct_armor,t_armor,ct_money,t_money,ct_helmets,t_helmets,ct_defuse_kits,ct_players_alive,t_players_alive
71,174.97,9,4,de_dust2,0,500,500,369,0,44050,18050,4,0,4,5,5
72,114.97,9,4,de_dust2,0,500,500,469,400,34550,9800,5,3,5,5,5
73,94.97,9,4,de_dust2,0,500,464,469,387,34550,9800,5,3,5,5,5
74,74.97,9,4,de_dust2,0,500,464,469,387,34550,9800,5,3,5,5,5
75,54.97,9,4,de_dust2,0,432,200,445,200,35250,3300,5,1,5,5,2
76,174.96,10,4,de_dust2,0,500,500,377,0,51700,27100,4,0,4,5,5
77,114.96,10,4,de_dust2,0,500,500,499,500,42550,700,5,5,4,5,5
78,94.96,10,4,de_dust2,0,389,400,400,400,30850,750,4,4,3,4,4
79,74.96,10,4,de_dust2,0,109,200,200,200,20050,1050,2,2,2,2,2
80,175.0,4,11,de_dust2,0,500,500,0,0,4000,4000,0,0,0,5,5
81,156.38,4,11,de_dust2,0,500,500,300,200,1250,350,0,0,1,5,5
82,96.38,4,11,de_dust2,0,320,461,384,179,600,350,0,0,1,5,5
83,76.38,4,11,de_dust2,0,116,366,197,151,300,1250,0,0,0,2,5
84,174.96,4,12,de_dust2,0,500,500,0,151,10100,18400,0,0,0,5,5
85,114.96,4,12,de_dust2,0,500,500,200,500,1700,400,1,5,0,5,5
86,94.96,4,12,de_dust2,0,300,400,100,400,1900,900,0,4,0,3,4
87,74.96,4,12,de_dust2,0,184,280,0,300,1500,1150,0,3,0,2,3
89,174.96,4,13,de_dust2,0,500,500,0,200,14400,18450,0,2,0,5,5
90,114.96,4,13,de_dust2,0,500,500,0,500,13900,7100,0,4,0,5,5
91,174.97,4,14,de_dust2,0,500,500,0,365,28700,23750,0,3,0,5,5
92,114.97,4,14,de_dust2,0,500,500,500,465,600,19250,1,4,1,5,5
93,94.97,4,14,de_dust2,0,497,500,500,465,300,17100,1,5,1,5,5
94,74.97,4,14,de_dust2,0,200,300,200,379,150,15350,0,4,1,2,4
95,54.97,4,14,de_dust2,0,100,300,100,379,0,15650,0,4,1,1,4
96,24.94,4,14,de_dust2,1,28,147,93,195,600,6850,0,2,1,1,2
97,4.94,4,14,de_dust2,1,28,147,93,195,600,6850,0,2,1,1,2
98,174.96,4,15,de_dust2,0,500,500,91,195,18000,36100,0,2,1,5,5
99,114.96,4,15,de_dust2,0,500,500,491,495,900,20100,2,5,2,5,5
100,94.96,4,15,de_dust2,0,483,400,491,395,1500,15400,2,4,2,5,4
101,74.96,4,15,de_dust2,0,283,204,291,272,250,11800,1,3,1,3,3
102,54.96,4,15,de_dust2,0,183,204,191,272,150,12100,1,3,2,2,3
103,34.96,4,15,de_dust2,0,100,100,100,100,50,2400,1,1,1,1,1
104,14.96,4,15,de_dust2,0,100,40,100,86,50,2400,1,1,1,1,1
105,169.95,0,0,de_mirage,0,500,500,0,0,4000,4000,0,0,0,5,5
107,89.95,0,0,de_mirage,0,180,146,87,71,250,700,0,0,1,2,2
108,169.96,0,1,de_mirage,0,500,500,0,66,11100,18250,0,0,0,5,5
109,109.96,0,1,de_mirage,0,500,500,400,500,1100,650,2,5,0,5,5
110,89.96,0,1,de_mirage,0,400,394,300,397,1400,500,1,4,0,4,4
111,35.98,0,1,de_mirage,1,200,305,200,389,50,1400,1,4,0,2,4
112,15.98,0,1,de_mirage,1,200,305,200,389,50,1400,1,4,0,2,4
113,169.96,0,2,de_mirage,0,500,500,192,376,13400,19350,1,4,0,5,5
114,109.96,0,2,de_mirage,0,500,500,192,476,12400,12900,1,5,0,5,5
115,89.96,0,2,de_mirage,0,201,500,192,476,7600,13800,1,5,0,3,5
116,169.96,0,3,de_mirage,0,500,500,0,370,27200,31550,0,4,0,5,5
117,109.96,0,3,de_mirage,0,500,500,500,470,300,21300,4,5,0,5,5
118,89.96,0,3,de_mirage,0,500,499,500,469,300,21300,4,5,0,5,5
119,69.96,0,3,de_mirage,0,500,499,500,469,300,21300,4,5,0,5,5
120,49.96,0,3,de_mirage,0,500,399,500,369,400,18700,4,4,0,5,4
121,29.96,0,3,de_mirage,0,500,200,500,190,800,7400,4,2,0,5,2
122,9.96,0,3,de_mirage,0,400,110,400,170,800,7700,3,2,0,4,2
123,169.96,1,3,de_mirage,0,500,500,400,170,17050,25800,3,2,0,5,5
124,109.96,1,3,de_mirage,0,500,500,500,470,7650,7150,4,5,4,5,5
125,89.96,1,3,de_mirage,0,400,407,400,438,7550,7250,4,5,4,4,5
126,30.83,1,3,de_mirage,1,300,348,300,352,7000,6300,3,4,3,3,4
127,10.83,1,3,de_mirage,1,300,100,300,99,7900,2350,3,1,3,3,1
128,169.96,2,3,de_mirage,0,500,500,300,0,26950,21350,3,0,3,5,5
129,109.96,2,3,de_mirage,0,500,500,500,500,11450,300,5,5,5,5,5
130,89.96,2,3,de_mirage,0,500,500,500,500,11450,300,5,5,5,5,5
131,69.96,2,3,de_mirage,0,500,500,500,500,11450,300,5,5,5,5,5
132,49.96,2,3,de_mirage,0,500,500,500,500,11450,300,5,5,5,5,5
133,29.96,2,3,de_mirage,0,300,186,300,289,4600,700,3,3,3,3,3
134,9.96,2,3,de_mirage,0,200,93,200,98,4500,350,2,1,2,2,1
135,169.96,3,3,de_mirage,0,500,500,200,77,28700,10800,2,1,2,5,5
136,109.96,3,3,de_mirage,0,500,500,500,77,8900,9100,5,1,4,5,5
137,89.96,3,3,de_mirage,0,500,500,500,77,8900,7700,5,1,4,5,5
138,69.96,3,3,de_mirage,0,500,452,500,77,8900,7700,5,1,4,5,5
139,169.96,4,3,de_mirage,0,500,500,400,0,26450,22500,4,0,3,5,5
140,109.96,4,3,de_mirage,0,500,500,500,500,18250,300,5,5,5,5,5
141,89.96,4,3,de_mirage,0,395,412,398,478,14050,600,4,5,4,4,5
142,69.96,4,3,de_mirage,0,395,412,398,478,14050,600,4,5,4,4,5
143,49.96,4,3,de_mirage,0,200,290,200,373,5650,1150,2,4,2,2,4
144,27.16,4,3,de_mirage,1,200,290,200,373,5650,1450,2,4,2,2,4
145,7.16,4,3,de_mirage,1,100,290,100,373,3400,1750,1,4,1,1,4
146,169.96,4,4,de_mirage,0,500,500,100,370,25550,19300,1,4,1,5,5
147,109.96,4,4,de_mirage,0,500,500,500,470,2400,9800,3,5,2,5,5
148,89.96,4,4,de_mirage,0,500,500,500,470,2400,9800,3,5,2,5,5
149,69.96,4,4,de_mirage,0,500,500,500,470,2400,9800,3,5,2,5,5
150,49.96,4,4,de_mirage,0,471,200,500,191,2900,2800,3,2,2,5,2
151,29.96,4,4,de_mirage,0,371,200,400,191,2550,3100,2,2,2,4,2
152,33.49,4,4,de_mirage,1,171,100,200,99,850,3700,1,1,0,2,1
153,13.49,4,4,de_mirage,1,112,0,191,0,1150,0,1,0,1,2,0
154,169.96,5,4,de_mirage,0,500,500,191,0,21300,27000,1,0,1,5,5
155,170.0,5,4,de_mirage,0,500,500,491,300,3150,16450,4,3,4,5,5
156,170.0,5,4,de_mirage,0,500,500,491,500,3150,3950,4,5,4,5,5
157,112.62,5,4,de_mirage,0,500,500,491,500,3150,3650,4,5,4,5,5
158,92.62,5,4,de_mirage,0,500,500,491,500,3150,3650,4,5,4,5,5
159,72.62,5,4,de_mirage,0,500,447,491,483,3150,3650,4,5,4,5,5
161,32.62,5,4,de_mirage,0,103,76,188,98,800,1250,2,1,2,2,1
162,30.66,5,4,de_mirage,1,100,76,91,98,50,1850,1,1,1,1,1
163,10.66,5,4,de_mirage,1,13,0,91,0,350,0,1,0,1,1,0
164,169.95,6,4,de_mirage,0,500,500,91,0,21650,23450,1,0,1,5,5
165,109.95,6,4,de_mirage,0,500,500,491,500,1900,600,4,5,2,5,5
166,89.95,6,4,de_mirage,0,500,400,491,400,2000,550,4,4,2,5,4
167,69.95,6,4,de_mirage,0,400,263,391,286,450,650,3,3,1,4,3
168,169.96,7,4,de_mirage,0,500,500,386,0,19250,17700,3,0,1,5,5
169,109.96,7,4,de_mirage,0,500,500,486,400,8800,10600,5,2,4,5,5
170,89.96,7,4,de_mirage,0,478,268,482,195,9200,6600,5,0,4,5,3
171,31.16,7,4,de_mirage,1,207,212,292,183,6500,7300,3,0,2,3,3
172,169.96,7,5,de_mirage,0,500,500,0,183,16200,28250,0,0,0,5,5
173,109.97,7,5,de_mirage,0,500,500,0,500,16200,13550,0,4,0,5,5
174,89.97,7,5,de_mirage,0,500,500,0,500,16200,13250,0,4,0,5,5
175,26.62,7,5,de_mirage,1,400,500,0,500,12550,13650,0,4,0,4,5
176,6.62,7,5,de_mirage,1,100,427,0,462,1800,14550,0,4,0,1,5
177,169.96,7,6,de_mirage,0,500,500,0,431,25700,32050,0,4,0,5,5
178,109.96,7,6,de_mirage,0,500,500,500,431,400,26050,1,4,2,5,5
179,89.96,7,6,de_mirage,0,344,156,400,166,1200,6300,1,2,1,4,2
180,69.96,7,6,de_mirage,0,300,156,300,166,1000,6600,1,2,1,3,2
181,49.96,7,6,de_mirage,0,200,100,200,95,300,3800,0,1,2,2,1
183,109.95,8,6,de_mirage,0,500,500,500,500,850,9300,2,5,4,5,5
184,89.95,8,6,de_mirage,0,500,400,500,400,950,7750,2,4,4,5,4
185,69.95,8,6,de_mirage,0,500,400,500,400,950,7750,2,4,4,5,4
186,35.15,8,6,de_mirage,1,200,262,200,295,700,8350,1,3,1,2,3
187,169.95,7,8,de_mirage,0,500,500,0,0,4000,4000,0,0,0,5,5
188,170.0,7,8,de_mirage,0,500,500,100,100,3350,950,0,0,0,5,5
189,170.0,7,8,de_mirage,0,500,500,100,100,2650,950,0,0,1,5,5
190,170.0,7,8,de_mirage,0,500,500,200,200,2000,300,0,0,1,5,5
191,170.0,7,8,de_mirage,0,500,500,200,200,2000,300,0,0,1,5,5
192,110.98,7,8,de_mirage,0,500,500,400,200,650,300,0,0,1,5,5
194,28.52,7,8,de_mirage,1,189,106,193,0,850,600,0,0,0,2,2
195,8.52,7,8,de_mirage,1,189,0,193,0,1450,0,0,0,0,2,0
196,169.95,8,8,de_mirage,0,500,500,193,0,19950,15000,0,0,0,5,5
197,109.95,8,8,de_mirage,0,500,500,393,500,250,50,3,5,1,5,5
198,89.95,8,8,de_mirage,0,400,481,293,500,250,350,2,5,0,4,5
199,69.95,8,8,de_mirage,0,322,381,279,400,550,350,2,4,0,4,4
200,49.95,8,8,de_mirage,0,300,281,200,300,300,650,2,3,1,3,3
201,29.95,8,8,de_mirage,0,100,200,100,199,150,650,1,2,0,1,2
202,169.95,8,9,de_mirage,0,500,500,0,197,7950,17800,0,2,0,5,5
203,109.95,8,9,de_mirage,0,500,500,400,497,100,1700,2,5,0,5,5
204,89.95,8,9,de_mirage,0,473,500,396,497,100,1700,2,5,0,5,5
205,69.95,8,9,de_mirage,0,452,493,396,497,100,1700,2,5,0,5,5
206,27.77,8,9,de_mirage,1,163,193,279,199,950,1050,2,2,0,3,2
207,7.77,8,9,de_mirage,1,10,0,85,0,450,0,1,0,0,1,0
208,169.95,8,10,de_mirage,0,500,500,0,0,10900,20700,0,0,0,5,5
209,109.95,8,10,de_mirage,0,500,500,0,500,10700,1300,0,5,0,5,5
210,89.95,8,10,de_mirage,0,36,400,0,400,2250,1500,0,4,0,1,4
211,169.96,8,11,de_mirage,0,500,500,0,400,23000,19650,0,4,0,5,5
212,109.96,8,11,de_mirage,0,500,500,400,500,350,11550,2,5,0,5,5
213,89.96,8,11,de_mirage,0,500,500,400,500,350,11550,2,5,0,5,5
214,69.96,8,11,de_mirage,0,500,400,400,400,650,8200,2,4,0,5,4
215,49.96,8,11,de_mirage,0,500,400,400,400,650,8200,2,4,0,5,4
216,29.96,8,11,de_mirage,0,500,400,400,400,650,8200,2,4,0,5,4
217,169.95,9,11,de_mirage,0,500,500,200,0,18100,19150,1,0,0,5,5
218,109.95,9,11,de_mirage,0,500,500,500,100,2300,13900,4,0,3,5,5
219,89.95,9,11,de_mirage,0,500,497,500,98,2300,13900,4,0,3,5,5
220,69.95,9,11,de_mirage,0,200,97,200,98,2050,2900,2,0,2,2,1
221,49.95,9,11,de_mirage,0,200,97,200,98,2050,2900,2,0,2,2,1
222,169.95,10,11,de_mirage,0,500,500,200,0,19850,24100,2,0,2,5,5
223,170.0,10,11,de_mirage,0,500,500,400,300,7250,13200,4,3,4,5,5
224,164.69,10,11,de_mirage,0,500,500,500,500,3300,700,5,5,4,5,5
225,104.69,10,11,de_mirage,0,500,500,499,500,3100,650,5,5,4,5,5
226,84.69,10,11,de_mirage,0,200,208,199,280,1600,1000,2,3,1,2,3
227,64.69,10,11,de_mirage,0,13,108,99,180,1650,950,1,2,1,1,2
228,35.27,10,11,de_mirage,1,13,100,99,100,1950,300,1,1,1,1,1
229,169.95,10,12,de_mirage,0,500,500,0,100,11300,18700,0,1,0,5,5
230,109.95,10,12,de_mirage,0,500,500,300,500,450,1950,0,5,1,5,5
231,89.95,10,12,de_mirage,0,500,500,300,500,450,1950,0,5,1,5,5
232,69.95,10,12,de_mirage,0,500,500,300,500,450,1950,0,5,1,5,5
233,49.95,10,12,de_mirage,0,321,337,200,394,400,1950,0,4,0,4,4
234,29.95,10,12,de_mirage,0,315,237,197,294,700,1300,0,3,0,4,3
235,169.95,11,12,de_mirage,0,500,500,197,0,18000,9550,0,0,0,5,5
236,170.0,11,12,de_mirage,0,500,500,500,0,6300,9550,4,0,1,5,5
237,163.14,11,12,de_mirage,0,500,500,500,200,4500,5800,4,1,2,5,5
238,103.14,11,12,de_mirage,0,500,500,500,400,2350,1600,5,3,3,5,5
239,83.14,11,12,de_mirage,0,408,292,498,197,3250,1500,5,2,3,5,3
240,63.14,11,12,de_mirage,0,408,292,498,197,3250,1500,5,2,3,5,3
241,169.96,12,12,de_mirage,0,500,500,400,0,20700,11400,4,0,3,5,5
242,109.96,12,12,de_mirage,0,500,500,500,0,9500,11400,5,0,4,5,5
243,89.96,12,12,de_mirage,0,200,163,200,0,3000,7100,2,0,2,2,3
244,25.39,12,12,de_mirage,1,108,120,180,0,3600,5200,2,0,2,2,2
245,169.95,13,12,de_mirage,0,500,500,176,0,29100,28600,2,0,2,5,5
246,170.0,13,12,de_mirage,0,500,500,476,300,7550,12650,5,3,5,5,5
247,168.52,13,12,de_mirage,0,500,500,476,500,7250,2250,5,5,5,5,5
248,108.52,13,12,de_mirage,0,500,500,476,500,7250,2250,5,5,5,5,5
251,48.52,13,12,de_mirage,0,500,500,476,500,7250,2250,5,5,5,5,5
252,28.52,13,12,de_mirage,0,473,100,472,100,8250,50,5,1,5,5,1
253,169.96,14,12,de_mirage,0,500,500,372,0,24800,17050,4,0,4,5,5
254,109.96,14,12,de_mirage,0,500,500,472,300,15000,9450,5,3,5,5,5
255,89.96,14,12,de_mirage,0,500,335,472,288,15300,7350,5,3,5,5,4
256,35.09,14,12,de_mirage,1,400,186,372,185,12600,6050,4,2,4,4,3
257,15.09,14,12,de_mirage,1,257,0,265,0,10500,0,3,0,3,3,0
258,169.95,15,12,de_mirage,0,500,500,265,0,34300,31150,3,0,3,5,5
259,109.95,15,12,de_mirage,0,500,500,465,500,19000,3700,5,5,5,5,5
260,89.95,15,12,de_mirage,0,500,500,465,500,19000,3700,5,5,5,5,5
261,69.95,15,12,de_mirage,0,400,393,365,397,16000,2900,4,4,4,4,4
262,49.95,15,12,de_mirage,0,400,393,365,397,16000,2900,4,4,4,4,4
263,33.39,15,12,de_mirage,1,200,366,192,392,12650,3800,2,4,2,2,4
264,13.39,15,12,de_mirage,1,200,366,192,392,12650,3800,2,4,2,2,4
265,169.95,15,13,de_mirage,0,500,500,0,292,26600,23000,0,3,0,5,5
266,170.0,15,13,de_mirage,0,500,500,300,492,7450,10500,1,5,1,5,5
267,168.47,15,13,de_mirage,0,500,500,500,492,1350,9900,1,5,2,5,5
268,108.47,15,13,de_mirage,0,500,500,500,492,1350,9400,1,5,2,5,5
269,88.47,15,13,de_mirage,0,500,500,500,492,1350,9400,1,5,2,5,5
270,68.47,15,13,de_mirage,0,500,500,500,492,1350,9400,1,5,2,5,5
271,48.47,15,13,de_mirage,0,416,400,500,392,1650,6900,1,4,2,5,4
272,26.98,15,13,de_mirage,1,200,254,200,355,1000,8100,0,4,1,2,4
273,6.98,15,13,de_mirage,1,200,254,200,355,1000,8100,0,4,1,2,4
274,169.95,15,14,de_mirage,0,500,500,200,70,11850,28100,0,1,1,5,5
275,109.95,15,14,de_mirage,0,500,500,500,470,50,3350,2,5,3,5,5
276,89.95,15,14,de_mirage,0,500,400,500,370,150,3200,2,4,3,5,4
277,69.95,15,14,de_mirage,0,500,400,500,370,150,3200,2,4,3,5,4
278,169.96,0,0,de_dust2,0,500,500,0,0,4000,4000,0,0,0,5,5
279,109.96,0,0,de_dust2,0,500,500,400,300,600,400,0,0,1,5,5
280,89.96,0,0,de_dust2,0,500,381,400,199,900,250,0,0,1,5,4
281,40.01,0,0,de_dust2,1,400,261,300,199,1050,850,0,0,1,4,3
282,169.96,1,0,de_dust2,0,500,500,300,0,19900,14500,0,0,1,5,5
283,170.0,1,0,de_dust2,0,500,500,500,300,0,900,5,3,1,5,5
284,170.0,1,0,de_dust2,0,500,500,500,300,0,850,5,3,1,5,5
285,166.65,1,0,de_dust2,0,500,500,500,300,0,850,5,3,1,5,5
286,106.65,1,0,de_dust2,0,500,500,500,300,0,850,5,3,1,5,5
287,86.65,1,0,de_dust2,0,500,497,500,300,0,850,5,3,1,5,5
288,66.65,1,0,de_dust2,0,500,497,500,300,0,850,5,3,1,5,5
289,35.74,1,0,de_dust2,1,300,300,300,200,300,1350,3,2,1,3,3
290,15.74,1,0,de_dust2,1,180,300,291,200,300,1350,3,2,1,3,3
291,169.96,1,1,de_dust2,0,500,500,91,80,7900,19850,1,1,0,5,5
292,109.96,1,1,de_dust2,0,500,500,391,480,450,3200,1,5,0,5,5
293,89.96,1,1,de_dust2,0,497,500,389,480,450,3200,1,5,0,5,5
294,69.96,1,1,de_dust2,0,497,500,389,480,450,3200,1,5,0,5,5
295,49.96,1,1,de_dust2,0,400,400,291,380,400,3400,1,4,0,4,4
296,28.51,1,1,de_dust2,1,200,379,91,376,300,4300,1,4,0,2,4
297,8.51,1,1,de_dust2,1,200,379,91,376,300,4300,1,4,0,2,4
298,169.96,1,2,de_dust2,0,500,500,91,374,10250,21900,1,4,0,5,5
299,109.96,1,2,de_dust2,0,500,431,91,467,7350,12900,1,5,0,5,5
300,89.96,1,2,de_dust2,0,288,331,0,367,3850,11700,0,4,0,3,4
301,69.96,1,2,de_dust2,0,263,331,0,367,3850,11700,0,4,0,3,4
302,49.96,1,2,de_dust2,0,188,331,0,367,2500,12000,0,4,0,2,4
303,37.96,1,2,de_dust2,1,188,331,0,367,2500,12300,0,4,0,2,4
304,17.96,1,2,de_dust2,1,188,331,0,367,2500,12300,0,4,0,2,4
305,169.96,1,3,de_dust2,0,500,500,0,367,19650,31600,0,4,0,5,5
306,109.96,1,3,de_dust2,0,500,500,300,467,15500,20350,0,5,0,5,5
307,89.96,1,3,de_dust2,0,491,500,300,467,15500,20350,0,5,0,5,5
308,69.96,1,3,de_dust2,0,281,438,200,452,9000,20950,0,5,0,3,5
309,37.8,1,3,de_dust2,1,181,300,200,296,6300,11100,0,3,0,2,3
310,17.8,1,3,de_dust2,1,181,300,200,296,6300,11100,0,3,0,2,3
311,169.96,1,4,de_dust2,0,500,500,200,195,30700,38850,0,2,0,5,5
312,109.96,1,4,de_dust2,0,500,500,500,495,9750,19600,4,5,4,5,5
313,89.96,1,4,de_dust2,0,500,494,500,495,9750,19600,4,5,4,5,5
314,69.96,1,4,de_dust2,0,153,182,200,197,3800,9000,2,2,1,2,2
315,37.9,1,4,de_dust2,1,71,88,100,99,900,2100,1,1,1,1,1
318,164.33,1,5,de_dust2,0,500,500,500,499,1350,14700,1,5,1,5,5
319,104.33,1,5,de_dust2,0,500,500,500,499,1350,14700,1,5,1,5,5
320,84.33,1,5,de_dust2,0,500,500,500,499,1350,14700,1,5,1,5,5
321,64.33,1,5,de_dust2,0,500,500,500,499,1350,14700,1,5,1,5,5
322,44.33,1,5,de_dust2,0,500,300,500,300,1950,8850,1,3,1,5,3
323,28.09,1,5,de_dust2,1,300,264,300,299,1400,9750,1,3,1,3,3
324,8.09,1,5,de_dust2,1,100,149,100,194,450,7650,0,2,0,1,2
325,169.95,1,6,de_dust2,0,500,500,100,185,19250,33500,0,2,0,5,5
326,170.0,1,6,de_dust2,0,500,500,100,485,19250,16000,0,5,0,5,5
327,170.0,1,6,de_dust2,0,500,500,100,485,18450,16000,0,5,0,5,5
328,165.41,1,6,de_dust2,0,500,500,100,485,18450,16000,0,5,0,5,5
329,105.41,1,6,de_dust2,0,429,500,300,485,13800,16000,1,5,0,5,5
330,85.41,1,6,de_dust2,0,229,400,200,391,7900,8650,1,4,0,3,4
331,65.41,1,6,de_dust2,0,229,400,200,391,7900,8650,1,4,0,3,4
332,45.41,1,6,de_dust2,0,129,400,100,391,5450,8950,1,4,0,2,4
333,25.41,1,6,de_dust2,0,29,400,0,391,2850,9250,0,4,0,1,4
335,0.27,1,6,de_dust2,1,29,400,0,391,2850,9550,0,4,0,1,4
336,169.96,1,7,de_dust2,0,500,500,0,380,31100,35000,0,4,0,5,5
337,109.96,1,7,de_dust2,0,500,500,500,480,5150,26000,2,5,2,5,5
338,89.96,1,7,de_dust2,0,500,500,500,480,5150,26000,2,5,2,5,5
339,69.96,1,7,de_dust2,0,270,200,300,189,5800,8550,1,2,2,3,2
340,49.96,1,7,de_dust2,0,270,200,300,189,5800,8550,1,2,2,3,2
341,29.96,1,7,de_dust2,0,104,100,200,89,4600,3750,1,1,1,2,1
342,9.96,1,7,de_dust2,0,104,100,200,89,4600,3750,1,1,1,2,1
343,169.96,2,7,de_dust2,0,500,500,200,0,22900,33700,1,0,1,5,5
